#VERDURAS,,
Acelga,U,1000
Ajo (3 u),Pqte.,1000
Ajo chileno (2 u),Pqte.,1000
Apio,U,1000
Berenjenas,U,500
Betarraga (5 u),Pqte.,1000
Brocoli,U,1000
Cebolla blanca,U,250
Cebolla morada (3 u),Pqte.,1000
Cebollín,Pqte.,700
Choclo americano,U,200
Choclo humero,U,400
Cilantro,Pqte.,500
Coliflor,U,1500
Espinaca,Kg,2000
Habas (400g),Pqte.,1000
Lechuga Costina,U,7500
Lechuga Escarola,U,7500
Lechuga Española,U,500
Lechuga Morada (3 u),Pqte.,1000
Paltas Hass premium,Kg,5000
Paltas Hass Nueva,Kg,4200
Papa (3 Kg),Malla?,2000
Pepino,U,500
Perejil,Pqte.,500
Pimentón amarillo,U,600
Pimentón rojo,U,600
Pimentón verde,U,600
Porotos granados,Kg,1500
Porotos verde,Kg,1500
Repollo blanco,U,1800
Repollo morado,U,1200
Rúcula,Pqte.,1000
Tomates ,Kg,1200
Verduras surtidas,Pqte.,500
Zanahoria,Kg,700
Zapallo camote (700g),U,500
#FRUTAS,,
Clementina,Kg,1400
Frutillas,Kg,2500
Limones ,Kg,1000
Manzana Fuji,Kg,1200
Manzana Verde,Kg,1200
Naranja de jugo,Kg,1500
Pepino,Kg,1200
Pera de agua,Kg,1200
Piña,U,1800
Plátanos ,Kg,1200
Tunas,Kg,2400
Uva Blanca,Kg,1500
Uva Rosada,Kg,2000
#OTROS,,
Jengibre,Kg,2500
